id,label,speak,aliases,category,pos,intent,core,safety,tier,words,composable,components,sources,list_count,corpus_freq,score
card_0000,a,A,,core,func,content,1,0,core,1,0,,consensus20,20,1972,19.38
card_0001,about,About,,core,func,content,1,0,core,1,0,,consensus20,20,314,16.63
card_0002,after,After,,core,func,content,1,0,core,1,0,,cbc+curated+consensus21,21,68,20.75
card_0003,afternoon,Afternoon,,time,noun,content,1,0,core,1,0,,cbc+curated+consensus21,21,21,19.04
card_0004,again,Again,,core,func,request,1,0,core,1,0,,curated+consensus22,22,115,18.93
card_0005,all,All,,core,func,content,1,0,core,1,0,,pc36+curated+consensus20,20,222,24.11
card_0006,also,Also,,core,func,content,1,0,core,1,0,,curated+consensus9,9,44,12.31
card_0007,always,Always,,describing,adv,content,1,0,core,1,0,,curated+consensus18,18,81,16.81
card_0008,am,Am,,core,aux,content,1,0,core,1,0,,curated+consensus16,16,4364,21.97
card_0009,and,And,,core,func,content,1,0,core,1,0,,cbc+curated+consensus22,22,682,24.59
card_0010,april,April,,time,noun,content,1,0,core,1,0,,consensus21,21,0,8.4
card_0011,are,Are,,core,aux,content,1,0,core,1,0,,curated+consensus20,20,4364,23.57
card_0012,at,At,,core,func,content,1,0,core,1,0,,consensus20,20,337,16.73
card_0013,august,August,,time,noun,content,1,0,core,1,0,,consensus21,21,1,9.44
card_0014,back,Back,backed|backing|backs,describing,adv,content,1,0,core,1,0,,cbc+curated+consensus22,22,130,22.11
card_0015,bad,Bad,,describing,adj,content,1,0,core,1,0,,cbc+curated+consensus23,23,60,21.37
card_0016,bake,Bake,baked|bakes|baking,actions,noun,content,1,0,core,1,0,,consensus20,20,3,10.08
card_0017,be,Be,being,core,aux,content,1,0,core,1,0,,curated+consensus19,19,4364,23.17
card_0018,bear,Bear,born,actions,noun,content,1,0,core,1,0,,cbc+consensus20,20,8,14.3
card_0019,because,Because,,core,func,content,1,0,core,1,0,,curated+consensus18,18,114,17.32
card_0020,before,Before,,core,func,content,1,0,core,1,0,,cbc+curated+consensus21,21,65,20.68
card_0021,big,Big,biggest,describing,adj,content,1,0,core,1,0,,curated+consensus21,21,20,15.97
card_0022,birthday,Birthday,,time,noun,content,1,0,core,1,0,,consensus20,20,30,13.15
card_0023,black,Black,,colours,adj,content,1,0,core,1,0,,cbc+consensus22,22,22,16.5
card_0024,blue,Blue,blues,colours,adj,content,1,0,core,1,0,,cbc+consensus23,23,24,17.03
card_0025,bored,Bored,,feelings,adj,feeling,1,0,core,1,0,,curated+consensus21,21,37,16.86
card_0026,break,Break,breaking|breaks|broke,actions,noun,content,1,0,core,1,0,,consensus20,20,46,13.78
card_0027,brown,Brown,,colours,adj,content,1,0,core,1,0,,consensus21,21,0,8.4
card_0028,brush,Brush,brushed|brushes|brushing,actions,noun,content,1,0,core,1,0,,consensus21,21,7,11.52
card_0029,but,But,,core,func,content,1,0,core,1,0,,curated+consensus20,20,371,19.88
card_0030,buy,Buy,bought|buying|buys,actions,verb,content,1,0,core,1,0,,consensus21,21,96,15.26
card_0031,can,Can,canned|canning|cans,core,aux,content,1,0,core,1,0,,pc36+curated+consensus22,22,1091,27.29
card_0032,can't,Can't,,core,aux,content,1,0,core,1,0,,curated+consensus10,10,153,14.56
card_0033,change,Change,changed|changes|changing,actions,noun,content,1,0,core,1,0,,consensus22,22,69,15.17
card_0034,choose,Choose,chooses|choosing|chose|chosen,actions,noun,content,1,0,core,1,0,,consensus21,21,7,11.52
card_0035,circle,Circle,,describing,noun,content,1,0,core,1,0,,cbc+consensus21,21,0,11.4
card_0036,clean,Clean,cleaned|cleaner|cleanest|cleaning|cleans,actions,noun,content,1,0,core,1,0,,consensus21,21,37,13.86
card_0037,close,Close,closer|closes|closing,actions,adv,content,1,0,core,1,0,,curated+consensus20,20,38,16.5
