category,name_en,description_brief
animal,(Flower) Has Bloomed,"Two stylized flowers are shown. On the left, a closed yellow tulip-like flower bud can be seen above two green leaves. On the right side, the illustration depicts the same flower in full bloom with yellow petals open wide and the same green leaves underneath. A red arrow points from the closed flower bud on the left to the open flower on the right, indicating the process of blooming or the transition from a bud to a fully blossomed flower."
animal,(The Flower) Has Seeded,"A stylized illustration of a plant with a vertical stem, rounded leaves growing from it in a symmetrical manner, and two oval-shaped seeds or fruits hanging from the stem, using a limited color palette consisting mainly of grays."
animal,Acacia Tree,"A simplified representation of an Acacia tree is illustrated. On the left side, there's a stylized tree with a straight brown trunk and a rounded green canopy, adorned with several white flower buds. On the right side, a sprig with several white Acacia flowers in full bloom, each consisting of five petals with prominent yellow-tipped stamens, is shown connected to a cluster of green leaves through green stems. The entire image uses bold outlines and flat colors."
animal,Alligator,"A cartoonish alligator primarily green with a lighter green underbelly and black dots along its back to represent scales. It's in profile with a long snout, visible sharp teeth, small limbs, and a ridged back, indicative of its scaly texture. Its tail curves upward and its eyes are simple and lack detail."
animal,Anaconda,"The illustration depicts a brown snake or serpent-like creature with green patterns resembling moss or natural camouflage markings. The creature has a simplified, rounded head with a stoic expression and a single visible fang protruding from the mouth. Its body coils at the base, creating a circular shape with the tail extending out from the coil, ending with a tapered tip. No specific environment or background details are present."
animal,Anchovies,"The illustration features four stylized fish lined up next to each other, depicted in a simplistic manner with smooth, curved bodies tapering to a point at one end. Each fish has a visible eye, gill, and a slight smile. The coloring is minimal, with shades of gray and beige indicating the body of the fish, and white for the belly area. The style is cartoonish and friendly."
animal,Animal Feed,"A transparent jar with a yellow lid, filled with numerous small, brown, cube-shaped objects, resembling animal feed or pellets. A couple of pellets appear to have spilled outside the jar, resting next to it. The image conveys the concept of a container with pet or livestock feed."
animal,Animal Hospital,"The illustration depicts a simplified representation of an animal hospital facade. The building features a flat, rectangular structure with a yellow upper portion and a base with a light blue door and a large window sectioned into smaller panes. Above the door and window, there is a sign with the Korean text ""동물병원,"" which translates to ""animal hospital"" or ""veterinary hospital."""
animal,Ant,"A simplified, stylized illustration of an ant with a segmented body, six legs and two antennae protruding from its head. The ant and its parts are colored in brown. The image has a cartoon-like feel with clean lines and no shading, and it is presented on a plain white backdrop."
animal,Anteater,"A stylized, cartoon-like drawing of an anteater in side profile with its long snout pointing to the left. It has a rounded midsection, short legs, an elongated and striped tail and a pattern of triangular shapes along its back. The anteater is depicted against a plain white background and colored in shades of brown, tan, and white."
animal,Aquarium,"A rectangular aquarium with a blue water background sits on a flat, black surface. Inside, there's a layer of beige sand, a grey rock to the left and two green aquatic plants with wavy leaves on the right. The top has a black border or frame with small square shapes."
animal,Asiatic Black Bear,"The illustration depicts a standing half-moon bear, also known as an Asiatic black bear or ""반달곰"" in Korean. The bear is shown in profile, standing upright on its hind legs, with its forepaws hanging by its sides and its head turned slightly towards the viewer. The fur is primarily a rich brown color, with a white crescent prominently displayed on its chest. The style of the illustration is cartoon-like."
animal,Azalea flowers,"Two stylized flowers with pink petals. Each flower has a central part made up of small magenta dots with several thin lines, radiating outwards. The petals themselves have a lighter pink color with darker pink spots near the center. The flowers appear to be a graphic representation of azaleas, which in Korean is ""진달래"" (jindallae)."
animal,Baby's Breath Flowers,A stylized bunch of flowers or plants with green slender stems that converge at the bottom. Each stem has small circular flowers with black centers and white petals. There is green foliage or a leafy base in the background. The overall look suggests they are bunched together at the roots and the stems are originating from it.
animal,Balsam Flowers,"The illustration depicts two stems of flowers, one with bright red blooms and the other with pink blooms, both having a hint of darker shading at the petal bases. The flowers have a simplified, stylized appearance with visible outlines. The stems are green and bear elongated green leaves arranged alternately along the length. The background is plain white."
animal,Bat,"A cartoon bat with large, outstretched dark grey or black wings. Its body is fluffy with a lighter grey fur. The bat has a round face with pointed ears and small, dark eyes. It is in a front-facing position and is symmetrical. The background is white."
animal,Be Quiet,"An illustration of a simplified cartoon character with a round head, straight black haircut, two dots for eyes, and a straight line for a mouth. The character has a hand with a finger placed over the lips, suggesting a gesture for silence or quietness. The image reflects a visual representation of ""조용히해"", which translates to ""be quiet"" in Korean."
animal,Bear,"An illustration of a bear standing on all fours with a predominantly light to medium brown coat, with darker shading around its belly and limbs. Its face is detailed with small circular ears, black eyes, and a darker snout. The image represents the word ""곰,"" translating to ""bear"" from Korean."
animal,Bee,"A cartoon representation of a bee with a round face, large, friendly eyes, and a body of segmented in yellow and black stripes. It has two large, transparent wings with a light blue pattern and prominent, curvy antennae extending from its head."
animal,Bellflower,"A stylized flower with a single large, purple bloom in a five-pointed star-like shape with lighter purple details and a small white center with yellow stamen-like accents. There is a closed flower bud with a geometric, faceted appearance to the right of the bloom. The stem is green with a few leaves protruding at different points."
animal,Bing-Eo (Icefish),"A simple and stylized drawing of a fish in side profile view. It has a streamlined body, a pointed head, a forked tail, an eye with a yellow outline, a gill slit, and a series of lines representing scales along the middle of its body. The tail fin is shaded darker. The fish is colored in shades of gray."
animal,Bird,"A stylized bird in mid-flight. The bird is predominantly blue with lighter blue shades depicting its wings and tail feathers. The bird's belly is white, and it has yellow feet extending backward. The bird's beak is pink-red, and a simple black line represents the eye. The overall style of the drawing is cartoonish and simple, with clean lines and solid colors."
animal,Bird's Nest,The illustration shows a round bird's nest composed of interwoven brown and yellow lines that represent twigs and straws. The nest has a hollow center and appears to be empty with no eggs or birds present within it.
animal,Birdcage,"A simple, stylized illustration of a birdcage represented by a series of white vertical and horizontal lines forming a grid-like pattern. Inside the cage, there is a horizontal wooden perch positioned toward the upper half and a shallow green tray at the bottom. A small loop or ring is featured on top of the cage. There is no bird depicted in the cage."
animal,Bought a flower,"An illustration shows two hands; one is holding a yellow flower with a green stem, and the other is holding a blue banknote with the number 1000 on it. The banknote seems to be given or exchanged for the flower."
animal,Branch - (Wooden Spoon),"A stylized image of a branch with a single green leaf attached. The branch is horizontal with the leaf hanging down at the right side. On the right end of the branch, opposite the leaf, there is a dotted outline of a circle with a small red arrowhead pointing clockwise."
animal,Breaking off a branch,"A stylized broken branch with a few leaves on it. There's a vertical brown line presumably representing the trunk of a tree, and an angled branch with a clean break near the center. At the end of the broken branch, there is a star shape possibly denoting the point of breakage. The leaves are green."
animal,Brown Horse,"A cartoon-like illustration of a brown horse standing in a profile view with its body facing to the left. It has a darker brown mane and tail, a white snout, and appears to be smiling. The horse's legs are straight, with the hooves differentiated by a darker brown color. The background is plain and white."
animal,Butterfly,A stylized butterfly with two pairs of yellow wings with pink spots. The body of the butterfly is brown with segmented sections and features two black antennae protruding from the top of its head. The style is cartoon-like with a flat color palette and no complex shading.
animal,Butterfly,"A stylized butterfly with two large wings with a checkered pattern primarily in shades of cream or light beige. The butterfly has a darker brown segmented body and two antennae with small bulbous ends pointing upwards. It is a simple, cartoonish representation."
animal,Cactus,"A green cactus with black thorns in a beige or light brown container, drawn in a simple cartoon style. There's a red triangular shape to the right of the cactus, with a dotted red elliptical line connecting the tip of one of the cactus arms to the tip of the triangle, indicating a directional or pointing gesture towards the triangle."
animal,Calf and Cow,"Illustration of two stylized bovine figures, an adult cow and a calf, depicted side by side in a cartoon-like manner. Both cows are tan or light brown, with darker brown outlines, and have similar facial features and expressions. The adult cow is positioned behind the calf and to the right, slightly overlapping. Both animals are facing toward the left. They exist within dashed red lines that form rectangles around them, partially intersecting their bodies."
animal,Camel,"A stylized image of a Bactrian camel with two humps. The camel, in profile view facing to the left, is drawn with smooth lines and minimal detail, using shades of brown for the body and darker colors for the outline and to define the legs, hooves, and facial features. The camel's expression is neutral and its tail hangs down behind its back legs."
animal,Camellia Tree,"The illustration shows a stylized depiction of a tree and a flower. The tree has a brown trunk with a round green canopy, with small red flowers each having a red outline and a black dot in the center. Next to the tree is a large red flower with a yellow center and a single white petal peeking out from underneath, with a couple of green leaves at its base."
animal,Camping (Outing) with Dog,"A person standing to the right, with a happy facial expression, wearing a long sleeve shirt and pants. To the left of the person, there is a white dog with small black eyes and a black nose. Beside the dog, there is an orange tent with a gray floor and a black doorway, set up on a green patch that represents grass. In the background, there are two stylized green trees. The image represents a camping scene."
animal,Canola flowers,"An illustration shows a cluster of stylized flowers with five yellow petals, slightly orange at the base. The centers of the flowers are small, round yellow or beige circles. Green stems with a pair of green leaves are depicted below the petals. The style is cartoon-like and flat."
animal,Carnation,"Two flowers on a single stem. A larger flower with bright red petals and a visible core on the left, and a smaller bloom with soft pink petals on the right. Both flowers have green leaves attached to the stem. The background is plain and white."
